,county,state,date,latitude,longitude,season,temperature_high,temperature_low,cloud_cover,precip_intensity,visibility,conditions,wind_speed,Precip Intensity Groups,Visibility Classification (mi),Cloud Cover Classification (%)
488,Ashland County,Ohio,2021-06-09,40.81139,-82.26806,Summer,80.2,67.4,56.4,0.034,9.3,"Rain, Partially cloudy",11.0,light: 0 to 0.1,Clear: 6.21 to 12.43,Partly Cloudy/Sunny: 25 to 62.5
489,Ashland County,Ohio,2021-06-18,40.61309,-82.31692,Summer,78.6,64.1,28.6,0.172,9.7,"Rain, Partially cloudy",16.2,moderate: 0.1 to 0.3,Clear: 6.21 to 12.43,Partly Cloudy/Sunny: 25 to 62.5
490,Ashtabula County,Ohio,1991-07-01,41.81835,-80.93665,Summer,80.2,56.0,48.3,0.0,11.0,Partially cloudy,18.4,light: 0 to 0.1,Clear: 6.21 to 12.43,Partly Cloudy/Sunny: 25 to 62.5
491,Ashtabula County,Ohio,1999-05-30,41.72735,-80.54558,Spring,82.5,55.5,4.0,0.0,9.9,Clear,7.3,light: 0 to 0.1,Clear: 6.21 to 12.43,Sunny: 0 to 6.25
492,Ashtabula County,Ohio,2000-12-28,41.72134,-80.88494,Winter,17.8,9.7,84.1,0.051,5.1,"Snow, Partially cloudy",9.9,light: 0 to 0.1,Light Haze: 2.48 to 6.21,Mostly Cloudy: 62.5 to 87.5
494,Ashtabula County,Ohio,2011-07-15,41.81287,-80.95952,Summer,84.0,60.8,5.4,0.0,9.9,Clear,10.1,light: 0 to 0.1,Clear: 6.21 to 12.43,Sunny: 0 to 6.25
495,Ashtabula County,Ohio,2013-03-14,41.76702,-80.98022,Winter,30.5,24.9,68.0,0.0,9.8,Partially cloudy,16.1,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Cloudy: 62.5 to 87.5
497,Nowata County,Oklahoma,2003-10-20,36.91528,-95.80417,Winter,89.9,51.1,1.3,0.0,9.9,Clear,12.2,light: 0 to 0.1,Clear: 6.21 to 12.43,Sunny: 0 to 6.25
498,Muskogee County,Oklahoma,1997-09-28,35.70166,-95.70208,Fall,76.3,59.2,21.9,0.0,9.5,Partially cloudy,15.8,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Sunny: 6.25 to 25
500,McIntosh County,Oklahoma,1986-08-25,35.36895,-95.97023,Summer,93.8,71.0,70.0,0.098,15.1,"Rain, Partially cloudy",16.1,light: 0 to 0.1,Very Clear: 12.43 to 31.06,Mostly Cloudy: 62.5 to 87.5
501,Mayes County,Oklahoma,1987-10-14,36.879,-95.1695,Fall,74.0,47.9,77.9,0.0,15.3,Partially cloudy,15.0,light: 0 to 0.1,Very Clear: 12.43 to 31.06,Mostly Cloudy: 62.5 to 87.5
506,Lincoln County,Oklahoma,2003-01-31,35.86972,-96.968,Fall,59.0,31.1,16.1,0.0,7.5,Clear,13.7,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Sunny: 6.25 to 25
509,Hughes County,Oklahoma,2003-02-11,35.27056,-95.97,Summer,59.8,30.0,0.0,0.0,9.9,Clear,7.4,light: 0 to 0.1,Clear: 6.21 to 12.43,
510,Harmon County,Oklahoma,1942-04-01,34.73153,-99.81514,Spring,59.8,30.0,0.0,0.0,9.9,Clear,7.4,light: 0 to 0.1,Clear: 6.21 to 12.43,
521,Le Flore County,Oklahoma,2004-04-02,34.52436,-94.91928,Spring,73.5,46.5,0.0,0.0,9.9,Clear,9.2,light: 0 to 0.1,Clear: 6.21 to 12.43,
523,Le Flore County,Oklahoma,2004-11-27,34.695,-94.685,Fall,61.0,39.1,49.2,0.039,9.9,"Rain, Partially cloudy",18.4,light: 0 to 0.1,Clear: 6.21 to 12.43,Partly Cloudy/Sunny: 25 to 62.5
524,Le Flore County,Oklahoma,2004-12-14,34.78833,-94.70667,Spring,66.9,21.6,0.0,0.0,9.9,Clear,10.3,light: 0 to 0.1,Clear: 6.21 to 12.43,
527,Le Flore County,Oklahoma,2008-08-31,34.73966,-94.7264,Summer,89.1,71.4,33.6,0.0,5.6,Partially cloudy,8.4,light: 0 to 0.1,Light Haze: 2.48 to 6.21,Partly Cloudy/Sunny: 25 to 62.5
531,Le Flore County,Oklahoma,2012-03-18,34.4082,-94.38045,Winter,80.1,69.1,48.6,0.0,9.9,Partially cloudy,10.5,light: 0 to 0.1,Clear: 6.21 to 12.43,Partly Cloudy/Sunny: 25 to 62.5
533,Le Flore County,Oklahoma,2012-09-15,34.8146,-94.66875,Fall,74.4,68.7,99.8,0.351,5.3,"Rain, Overcast",1.7,heavy: 0.3 to 2,Light Haze: 2.48 to 6.21,Cloudy/Overcast: 87.5 to 100
534,Le Flore County,Oklahoma,2020-04-03,34.4415,-94.4325,Spring,64.5,47.9,82.9,0.069,8.6,"Rain, Partially cloudy",6.3,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Cloudy: 62.5 to 87.5
535,Le Flore County,Oklahoma,2022-08-12,34.64856,-94.46039,Summer,95.3,67.5,8.9,0.0,9.8,Clear,8.3,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Sunny: 6.25 to 25
536,Lincoln County,Oklahoma,2005-07-07,35.68583,-97.00389,Summer,84.4,67.5,69.2,0.004,6.8,"Rain, Partially cloudy",7.7,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Cloudy: 62.5 to 87.5
537,Logan County,Oklahoma,2003-05-16,35.68081,-97.26022,Summer,72.5,60.5,94.1,1.108,8.1,"Rain, Overcast",16.0,heavy: 0.3 to 2,Clear: 6.21 to 12.43,Cloudy/Overcast: 87.5 to 100
539,Mayes County,Oklahoma,2015-06-15,36.22935,-95.2419,Summer,79.0,71.6,61.6,0.652,9.1,"Rain, Partially cloudy",6.1,heavy: 0.3 to 2,Clear: 6.21 to 12.43,Partly Cloudy/Sunny: 25 to 62.5
540,McClain County,Oklahoma,2004-09-24,35.24194,-97.5625,Summer,84.3,65.0,64.8,0.0,9.9,Partially cloudy,10.3,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Cloudy: 62.5 to 87.5
543,McCurtain County,Oklahoma,2009-03-25,34.36778,-94.68028,Fall,64.7,40.9,23.4,0.325,8.5,"Rain, Partially cloudy",13.5,heavy: 0.3 to 2,Clear: 6.21 to 12.43,Mostly Sunny: 6.25 to 25
544,McCurtain County,Oklahoma,2010-08-14,34.021,-94.4435,Summer,98.7,75.1,0.1,0.0,8.5,Clear,8.1,light: 0 to 0.1,Clear: 6.21 to 12.43,Sunny: 0 to 6.25
545,McCurtain County,Oklahoma,2020-10-26,34.0775,-94.4095,Fall,53.0,51.1,100.0,0.063,6.6,"Rain, Overcast",8.1,light: 0 to 0.1,Clear: 6.21 to 12.43,Cloudy/Overcast: 87.5 to 100
546,McCurtain County,Oklahoma,2022-07-16,34.13716,-94.69904,Summer,98.8,71.0,0.6,0.0,9.7,Clear,7.1,light: 0 to 0.1,Clear: 6.21 to 12.43,Sunny: 0 to 6.25
547,McIntosh County,Oklahoma,2009-06-19,35.2933,-95.94727,Summer,90.7,78.7,9.1,0.0,9.9,Clear,19.0,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Sunny: 6.25 to 25
548,Muskogee County,Oklahoma,2004-05-03,35.7575,-95.60667,Spring,66.4,39.3,3.5,0.0,9.9,Clear,13.9,light: 0 to 0.1,Clear: 6.21 to 12.43,Sunny: 0 to 6.25
550,Creek County,Oklahoma,2009-09-08,36.03501,-96.36707,Summer,91.6,71.3,35.7,0.084,9.3,"Rain, Partially cloudy",10.7,light: 0 to 0.1,Clear: 6.21 to 12.43,Partly Cloudy/Sunny: 25 to 62.5
551,Comanche County,Oklahoma,2005-01-10,34.62944,-98.62833,Winter,67.6,41.1,12.8,0.001,7.4,Rain,13.5,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Sunny: 6.25 to 25
552,Cleveland County,Oklahoma,1995-09-01,35.21111,-97.24139,Fall,97.1,73.0,10.0,0.0,7.8,Clear,11.5,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Sunny: 6.25 to 25
558,Wasco County,Oregon,1974-08-15,45.4051,-121.424,Summer,88.1,51.8,28.3,0.0,27.1,Partially cloudy,14.3,light: 0 to 0.1,Very Clear: 12.43 to 31.06,Partly Cloudy/Sunny: 25 to 62.5
561,Umatilla County,Oregon,1974-08-15,45.3712,-118.5518,Summer,83.9,46.4,34.0,0.0,21.2,Partially cloudy,12.8,light: 0 to 0.1,Very Clear: 12.43 to 31.06,Partly Cloudy/Sunny: 25 to 62.5
563,Umatilla County,Oregon,1976-06-15,45.5,-118.42,Summer,76.5,37.1,87.6,0.079,28.9,"Rain, Partially cloudy",15.5,light: 0 to 0.1,Very Clear: 12.43 to 31.06,Cloudy/Overcast: 87.5 to 100
564,Umatilla County,Oregon,1976-06-30,45.9957,-118.1253,Summer,76.4,55.9,81.0,0.0,27.5,Partially cloudy,19.8,light: 0 to 0.1,Very Clear: 12.43 to 31.06,Mostly Cloudy: 62.5 to 87.5
565,Umatilla County,Oregon,1985-12-15,45.5789,-118.6016,Winter,28.1,11.8,76.5,0.0,2.9,Partially cloudy,6.4,light: 0 to 0.1,Light Haze: 2.48 to 6.21,Mostly Cloudy: 62.5 to 87.5
566,Umatilla County,Oregon,1991-07-15,45.3233,-118.2742,Summer,68.6,40.1,57.0,0.0,26.1,Partially cloudy,6.6,light: 0 to 0.1,Very Clear: 12.43 to 31.06,Partly Cloudy/Sunny: 25 to 62.5
568,Umatilla County,Oregon,1994-09-15,45.6605,-118.5654,Summer,73.5,47.1,22.0,0.0,26.9,Partially cloudy,6.3,light: 0 to 0.1,Very Clear: 12.43 to 31.06,Mostly Sunny: 6.25 to 25
570,Umatilla County,Oregon,1998-10-15,45.48318,-118.83,Fall,50.2,36.4,64.3,0.025,10.5,"Rain, Partially cloudy",15.1,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Cloudy: 62.5 to 87.5
571,Umatilla County,Oregon,2001-03-05,45.84175,-117.991,Fall,52.2,34.7,49.7,0.0,8.7,Partially cloudy,10.3,light: 0 to 0.1,Clear: 6.21 to 12.43,Partly Cloudy/Sunny: 25 to 62.5
572,Umatilla County,Oregon,2001-03-20,45.99215,-118.0811,Spring,54.3,30.8,0.0,0.0,9.9,Clear,8.9,light: 0 to 0.1,Clear: 6.21 to 12.43,
573,Umatilla County,Oregon,2002-12-17,45.46571,-118.875,Fall,39.9,23.4,24.5,0.039,9.4,"Snow, Rain, Partially cloudy",5.3,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Sunny: 6.25 to 25
574,Umatilla County,Oregon,2004-10-05,45.58982,-118.6131,Winter,79.2,33.5,0.0,0.0,9.5,Clear,6.2,light: 0 to 0.1,Clear: 6.21 to 12.43,
575,Umatilla County,Oregon,2005-07-15,45.6764,-118.5658,Summer,91.5,51.3,0.0,0.0,9.9,Clear,13.8,light: 0 to 0.1,Clear: 6.21 to 12.43,
576,Umatilla County,Oregon,2012-11-07,45.66721,-118.7056,Winter,52.7,33.7,40.7,0.041,9.8,"Rain, Partially cloudy",18.4,light: 0 to 0.1,Clear: 6.21 to 12.43,Partly Cloudy/Sunny: 25 to 62.5
577,Umatilla County,Oregon,2020-08-12,45.45024,-118.3243,Summer,65.3,46.6,41.6,0.01,9.9,"Rain, Partially cloudy",5.8,light: 0 to 0.1,Clear: 6.21 to 12.43,Partly Cloudy/Sunny: 25 to 62.5
578,Union County,Oregon,1982-08-24,45.43806,-118.0883,Summer,92.2,41.4,13.4,0.0,25.4,Clear,6.7,light: 0 to 0.1,Very Clear: 12.43 to 31.06,Mostly Sunny: 6.25 to 25
580,Union County,Oregon,1996-04-30,45.80374,-118.0603,Spring,62.3,40.4,84.8,0.0,20.2,Partially cloudy,10.8,light: 0 to 0.1,Very Clear: 12.43 to 31.06,Mostly Cloudy: 62.5 to 87.5
582,Wallowa County,Oregon,2009-02-11,45.91665,-117.925,Summer,34.4,28.1,82.8,0.099,6.7,"Snow, Rain, Partially cloudy",6.7,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Cloudy: 62.5 to 87.5
587,Wasco County,Oregon,2017-07-26,45.24006,-121.6794,Summer,90.8,64.3,2.5,0.0,9.9,Clear,16.4,light: 0 to 0.1,Clear: 6.21 to 12.43,Sunny: 0 to 6.25
588,Wasco County,Oregon,2017-09-01,45.33935,-121.3226,Summer,100.1,56.9,0.0,0.0,9.4,Clear,16.1,light: 0 to 0.1,Clear: 6.21 to 12.43,
589,Washington County,Oregon,1984-07-31,45.63606,-123.3471,Summer,75.0,58.5,54.2,0.0,15.8,Partially cloudy,14.0,light: 0 to 0.1,Very Clear: 12.43 to 31.06,Partly Cloudy/Sunny: 25 to 62.5
591,Washington County,Oregon,1993-09-15,45.4915,-123.2665,Fall,70.2,55.8,71.2,0.003,14.4,"Rain, Partially cloudy",8.8,light: 0 to 0.1,Very Clear: 12.43 to 31.06,Mostly Cloudy: 62.5 to 87.5
592,Washington County,Oregon,1997-06-15,45.46429,-123.0697,Summer,78.9,56.1,51.2,0.0,10.8,Partially cloudy,10.6,light: 0 to 0.1,Clear: 6.21 to 12.43,Partly Cloudy/Sunny: 25 to 62.5
593,Washington County,Oregon,2000-10-15,45.48204,-122.9903,Fall,55.6,36.0,65.5,0.002,3.7,"Rain, Partially cloudy",4.8,light: 0 to 0.1,Light Haze: 2.48 to 6.21,Mostly Cloudy: 62.5 to 87.5
594,Washington County,Oregon,2001-10-14,45.76569,-123.3601,Fall,61.5,50.4,82.1,0.084,8.4,"Rain, Partially cloudy",14.7,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Cloudy: 62.5 to 87.5
597,Caddo County,Oklahoma,2002-04-29,35.10278,-98.34056,Summer,77.7,53.5,41.3,0.0,9.9,Partially cloudy,11.7,light: 0 to 0.1,Clear: 6.21 to 12.43,Partly Cloudy/Sunny: 25 to 62.5
598,Caddo County,Oklahoma,2003-06-13,35.33389,-98.13028,Summer,83.9,64.1,76.1,0.331,9.8,"Rain, Partially cloudy",16.1,heavy: 0.3 to 2,Clear: 6.21 to 12.43,Mostly Cloudy: 62.5 to 87.5
599,Caddo County,Oklahoma,2012-04-26,35.08344,-98.24586,Spring,81.7,66.3,29.6,0.0,9.6,Partially cloudy,14.9,light: 0 to 0.1,Clear: 6.21 to 12.43,Partly Cloudy/Sunny: 25 to 62.5
600,Cherokee County,Oklahoma,1982-10-01,35.50285,-94.77699,Fall,84.9,56.2,10.3,0.0,8.3,Clear,9.8,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Sunny: 6.25 to 25
601,Cherokee County,Oklahoma,2000-06-10,35.325,-95.0585,Summer,80.7,70.8,65.3,0.256,9.0,"Rain, Partially cloudy",15.0,moderate: 0.1 to 0.3,Clear: 6.21 to 12.43,Mostly Cloudy: 62.5 to 87.5
602,Cherokee County,Oklahoma,2001-03-26,35.92806,-94.83,Summer,50.1,28.8,15.6,0.0,9.9,Clear,8.6,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Sunny: 6.25 to 25
605,Comanche County,Oklahoma,2010-01-25,34.76134,-98.61497,Fall,56.1,31.4,2.8,0.0,9.9,Clear,19.6,light: 0 to 0.1,Clear: 6.21 to 12.43,Sunny: 0 to 6.25
606,Comanche County,Oklahoma,2010-06-03,35.0,-99.0,Summer,93.5,66.6,9.1,0.0,9.6,Clear,18.2,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Sunny: 6.25 to 25
607,Delaware County,Oklahoma,1979-09-06,36.4168,-94.78227,Fall,88.1,64.1,30.0,0.0,9.0,Partially cloudy,11.4,light: 0 to 0.1,Clear: 6.21 to 12.43,Partly Cloudy/Sunny: 25 to 62.5
611,Polk County,Oregon,1982-10-20,45.06881,-123.6956,Fall,57.8,34.1,83.3,0.0,11.3,Partially cloudy,8.1,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Cloudy: 62.5 to 87.5
613,Morrow County,Oregon,1995-03-31,45.83675,-119.6389,Spring,66.6,38.5,74.4,0.0,24.8,Partially cloudy,15.4,light: 0 to 0.1,Very Clear: 12.43 to 31.06,Mostly Cloudy: 62.5 to 87.5
622,Grant County,Oregon,1973-11-15,44.825,-118.415,Fall,44.1,38.8,100.0,0.085,15.2,"Rain, Overcast",17.0,light: 0 to 0.1,Very Clear: 12.43 to 31.06,Cloudy/Overcast: 87.5 to 100
624,Deschutes County,Oregon,1963-07-15,43.8628,-121.8829,Summer,44.1,38.8,100.0,0.085,15.2,"Rain, Overcast",17.0,light: 0 to 0.1,Very Clear: 12.43 to 31.06,Cloudy/Overcast: 87.5 to 100
637,Deschutes County,Oregon,2005-07-09,44.56625,-121.6384,Spring,71.8,51.5,64.2,0.075,9.9,"Rain, Partially cloudy",13.9,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Cloudy: 62.5 to 87.5
638,Deschutes County,Oregon,2012-09-01,43.97603,-121.7828,Summer,75.9,39.7,0.0,0.0,9.9,Clear,8.3,light: 0 to 0.1,Clear: 6.21 to 12.43,
639,Deschutes County,Oregon,2013-11-15,43.98136,-121.4705,Winter,43.2,24.9,28.6,0.0,9.9,Partially cloudy,16.5,light: 0 to 0.1,Clear: 6.21 to 12.43,Partly Cloudy/Sunny: 25 to 62.5
640,Douglas County,Oregon,1956-07-15,43.31815,-122.1954,Summer,43.2,24.9,28.6,0.0,9.9,Partially cloudy,16.5,light: 0 to 0.1,Clear: 6.21 to 12.43,Partly Cloudy/Sunny: 25 to 62.5
642,Douglas County,Oregon,1977-07-01,43.6744,-123.2675,Summer,79.5,50.1,71.8,0.0,21.1,Partially cloudy,15.5,light: 0 to 0.1,Very Clear: 12.43 to 31.06,Mostly Cloudy: 62.5 to 87.5
643,Douglas County,Oregon,1978-06-25,43.7827,-123.9599,Summer,66.8,53.3,87.1,0.008,11.9,"Rain, Partially cloudy",10.4,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Cloudy: 62.5 to 87.5
645,Douglas County,Oregon,1980-09-05,43.225,-123.175,Fall,90.7,54.4,0.0,0.0,30.3,Clear,13.3,light: 0 to 0.1,Very Clear: 12.43 to 31.06,
646,Douglas County,Oregon,1980-10-04,44.55505,-123.3604,Fall,82.1,41.0,19.6,0.0,12.4,Clear,9.2,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Sunny: 6.25 to 25
647,Douglas County,Oregon,1989-07-01,43.16815,-123.4911,Summer,68.4,45.7,95.9,0.0,15.7,Overcast,9.2,light: 0 to 0.1,Very Clear: 12.43 to 31.06,Cloudy/Overcast: 87.5 to 100
649,Douglas County,Oregon,1991-10-15,43.5251,-123.311,Fall,88.6,46.8,9.7,0.0,18.6,Clear,12.3,light: 0 to 0.1,Very Clear: 12.43 to 31.06,Mostly Sunny: 6.25 to 25
650,Douglas County,Oregon,2002-08-20,43.2073,-123.5585,Summer,71.2,56.6,64.3,0.0,9.8,Partially cloudy,10.2,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Cloudy: 62.5 to 87.5
651,Douglas County,Oregon,2002-10-15,43.3029,-123.1611,Winter,76.8,40.2,0.0,0.0,9.8,Clear,6.9,light: 0 to 0.1,Clear: 6.21 to 12.43,
653,Douglas County,Oregon,2004-09-28,43.296,-122.5541,Fall,78.9,53.7,25.2,0.0,8.2,Partially cloudy,10.3,light: 0 to 0.1,Clear: 6.21 to 12.43,Partly Cloudy/Sunny: 25 to 62.5
654,Douglas County,Oregon,2006-11-15,43.61538,-123.5036,Fall,59.5,42.6,67.1,0.463,7.6,"Rain, Partially cloudy",17.3,heavy: 0.3 to 2,Clear: 6.21 to 12.43,Mostly Cloudy: 62.5 to 87.5
655,Grant County,Oregon,1997-07-04,44.7751,-118.7717,Summer,89.7,46.5,25.0,0.472,20.1,"Rain, Partially cloudy",8.1,heavy: 0.3 to 2,Very Clear: 12.43 to 31.06,Mostly Sunny: 6.25 to 25
656,Grant County,Oregon,2003-08-15,44.5385,-118.5908,Summer,91.1,48.8,0.0,0.0,9.9,Clear,16.1,light: 0 to 0.1,Clear: 6.21 to 12.43,
657,Grant County,Oregon,2004-09-15,44.9723,-118.3692,Fall,59.9,47.7,81.8,0.158,9.6,"Rain, Partially cloudy",9.5,moderate: 0.1 to 0.3,Clear: 6.21 to 12.43,Mostly Cloudy: 62.5 to 87.5
658,Harney County,Oregon,2003-07-02,43.85975,-118.8215,Summer,80.7,43.1,4.6,0.0,10.3,Clear,11.6,light: 0 to 0.1,Clear: 6.21 to 12.43,Sunny: 0 to 6.25
660,Hood River County,Oregon,1974-10-01,45.5666,-121.7745,Fall,82.5,47.6,45.6,0.0,18.2,Partially cloudy,10.4,light: 0 to 0.1,Very Clear: 12.43 to 31.06,Partly Cloudy/Sunny: 25 to 62.5
662,Hood River County,Oregon,1980-07-27,45.5775,-121.6444,Summer,97.1,62.0,0.0,0.0,23.7,Clear,18.3,light: 0 to 0.1,Very Clear: 12.43 to 31.06,
666,Hood River County,Oregon,1994-07-01,45.49805,-121.8214,Summer,70.8,56.9,81.3,0.023,22.6,"Rain, Partially cloudy",18.4,light: 0 to 0.1,Very Clear: 12.43 to 31.06,Mostly Cloudy: 62.5 to 87.5
667,Hood River County,Oregon,1996-09-15,45.25725,-121.5684,Fall,59.7,59.7,90.0,0.0,13.3,Partially cloudy,8.4,light: 0 to 0.1,Very Clear: 12.43 to 31.06,Cloudy/Overcast: 87.5 to 100
668,Hood River County,Oregon,2001-09-08,45.274,-121.6796,Summer,87.5,46.8,0.0,0.0,9.9,Clear,10.4,light: 0 to 0.1,Clear: 6.21 to 12.43,
669,Hood River County,Oregon,2002-09-24,45.63923,-121.8735,Fall,84.2,53.4,13.8,0.0,9.9,Clear,11.6,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Sunny: 6.25 to 25
670,Hood River County,Oregon,2008-05-23,45.38736,-121.5134,Winter,53.9,48.6,97.6,0.117,9.6,"Rain, Overcast",14.3,moderate: 0.1 to 0.3,Clear: 6.21 to 12.43,Cloudy/Overcast: 87.5 to 100
671,Jackson County,Oregon,1979-10-01,42.4356,-122.2328,Fall,85.5,45.7,34.8,0.0,23.0,Partially cloudy,7.5,light: 0 to 0.1,Very Clear: 12.43 to 31.06,Partly Cloudy/Sunny: 25 to 62.5
673,Jackson County,Oregon,1995-09-23,42.08845,-122.7465,Fall,84.8,50.9,18.3,0.0,16.6,Clear,7.9,light: 0 to 0.1,Very Clear: 12.43 to 31.06,Mostly Sunny: 6.25 to 25
675,Jackson County,Oregon,2003-09-15,42.2356,-123.0137,Fall,78.0,55.1,2.1,0.0,9.5,Clear,14.4,light: 0 to 0.1,Clear: 6.21 to 12.43,Sunny: 0 to 6.25
676,Jackson County,Oregon,2004-07-03,42.6,-122.475,Summer,83.2,59.6,19.5,0.0,9.9,Clear,14.3,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Sunny: 6.25 to 25
681,Josephine County,Oregon,1975-10-25,42.02106,-123.2725,Fall,49.8,40.3,100.0,0.77,6.6,"Rain, Overcast",18.2,heavy: 0.3 to 2,Clear: 6.21 to 12.43,Cloudy/Overcast: 87.5 to 100
682,Josephine County,Oregon,1976-09-01,42.1533,-123.5381,Summer,78.3,58.4,4.4,0.0,13.1,Clear,12.7,light: 0 to 0.1,Very Clear: 12.43 to 31.06,Sunny: 0 to 6.25
683,Josephine County,Oregon,1978-07-01,42.16298,-123.6481,Summer,59.8,52.3,94.7,0.085,12.1,"Rain, Overcast",10.5,light: 0 to 0.1,Clear: 6.21 to 12.43,Cloudy/Overcast: 87.5 to 100
684,Josephine County,Oregon,1978-10-01,42.56805,-123.3322,Fall,57.1,44.0,47.9,0.0,29.3,Partially cloudy,18.2,light: 0 to 0.1,Very Clear: 12.43 to 31.06,Partly Cloudy/Sunny: 25 to 62.5
687,Josephine County,Oregon,2000-07-30,42.09224,-123.4043,Summer,90.4,63.6,0.0,0.0,9.9,Clear,12.2,light: 0 to 0.1,Clear: 6.21 to 12.43,
688,Josephine County,Oregon,2002-06-08,42.39031,-123.449,Summer,48.1,34.2,82.8,0.0,9.9,Partially cloudy,11.0,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Cloudy: 62.5 to 87.5
689,Josephine County,Oregon,2002-07-20,42.24165,-123.6416,Summer,82.7,55.5,2.1,0.0,8.8,Clear,13.4,light: 0 to 0.1,Clear: 6.21 to 12.43,Sunny: 0 to 6.25
690,Josephine County,Oregon,2005-04-15,42.0833,-123.3333,Spring,62.6,33.1,42.7,0.0,9.9,Partially cloudy,9.3,light: 0 to 0.1,Clear: 6.21 to 12.43,Partly Cloudy/Sunny: 25 to 62.5
691,Josephine County,Oregon,2005-06-15,42.354,-123.4034,Spring,70.4,41.8,19.0,0.0,9.2,Clear,10.4,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Sunny: 6.25 to 25
692,Josephine County,Oregon,2006-11-15,42.16024,-123.6216,Winter,51.1,41.9,66.3,0.076,6.9,"Rain, Partially cloudy",22.6,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Cloudy: 62.5 to 87.5
693,Josephine County,Oregon,2009-02-18,42.22501,-123.75,Summer,51.9,37.6,16.6,0.0,6.9,Clear,7.7,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Sunny: 6.25 to 25
694,Josephine County,Oregon,2009-03-02,42.125,-123.2916,Summer,51.5,40.9,88.3,0.347,8.2,"Rain, Partially cloudy",18.9,heavy: 0.3 to 2,Clear: 6.21 to 12.43,Cloudy/Overcast: 87.5 to 100
696,Klamath County,Oregon,1983-07-01,42.8673,-122.1629,Summer,71.0,56.0,95.8,0.165,14.2,"Rain, Overcast",15.0,moderate: 0.1 to 0.3,Very Clear: 12.43 to 31.06,Cloudy/Overcast: 87.5 to 100
699,Klamath County,Oregon,1998-08-15,42.47,-122.275,Summer,88.1,61.4,3.7,0.0,9.9,Clear,17.2,light: 0 to 0.1,Clear: 6.21 to 12.43,Sunny: 0 to 6.25
701,Klamath County,Oregon,2006-01-16,42.23865,-121.9446,Winter,34.5,26.9,97.2,0.21,7.0,"Snow, Rain, Overcast",7.6,moderate: 0.1 to 0.3,Clear: 6.21 to 12.43,Cloudy/Overcast: 87.5 to 100
702,Klamath County,Oregon,2009-12-10,42.36945,-121.3866,Winter,26.9,-2.1,15.8,0.0,9.8,Clear,4.7,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Sunny: 6.25 to 25
704,Lane County,Oregon,1978-12-18,43.9311,-124.1214,Winter,45.1,29.7,40.9,0.118,8.8,"Snow, Rain, Partially cloudy",9.6,moderate: 0.1 to 0.3,Clear: 6.21 to 12.43,Partly Cloudy/Sunny: 25 to 62.5
707,Lane County,Oregon,1984-08-17,44.19167,-123.975,Summer,82.1,53.9,47.7,0.0,16.5,Partially cloudy,13.9,light: 0 to 0.1,Very Clear: 12.43 to 31.06,Partly Cloudy/Sunny: 25 to 62.5
710,Lane County,Oregon,1999-07-15,43.7667,-123.455,Summer,81.5,46.2,3.0,0.0,9.8,Clear,12.8,light: 0 to 0.1,Clear: 6.21 to 12.43,Sunny: 0 to 6.25
714,Lane County,Oregon,2004-07-17,43.6583,-122.8042,Summer,85.2,60.2,16.5,0.0,9.9,Clear,13.9,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Sunny: 6.25 to 25
717,Lane County,Oregon,2016-01-20,44.05917,-122.9343,Winter,49.2,36.6,84.8,0.197,9.8,"Rain, Partially cloudy",12.8,moderate: 0.1 to 0.3,Clear: 6.21 to 12.43,Mostly Cloudy: 62.5 to 87.5
718,Lane County,Oregon,2019-07-23,43.85062,-122.7085,Summer,79.4,52.4,36.3,0.0,9.9,Partially cloudy,15.0,light: 0 to 0.1,Clear: 6.21 to 12.43,Partly Cloudy/Sunny: 25 to 62.5
